평균기온(°C),평균최고기온(°C),평균최저기온(°C)
3.7587984,7.1296706,0.7011563
5.091048,8.711939,1.8206701
8.29466,12.206287,4.5728993
11.866507,15.995162,8.122238
15.790531,19.840155,12.472534
20.3055,24.138462,17.22438
23.070217,26.438992,20.232885
23.543007,26.923458,20.988735
20.406994,24.12656,17.696932
16.095407,20.061611,12.6133995
11.43454,15.654211,7.291635
6.6421328,11.045847,2.3862448
